location_code,city,state
100,New York,NY
101,Los Angeles,CA
102,Chicago,IL
103,Houston,TX
104,Phoenix,AZ
105,Philadelphia,PA
106,San Antonio,TX
107,San Diego,CA
108,Dallas,TX
109,San Jose,CA
110,Austin,TX
111,Jacksonville,FL
112,Fort Worth,TX
113,Columbus,OH
114,Charlotte,NC
115,San Francisco,CA
116,Indianapolis,IN
117,Seattle,WA
118,Denver,CO
119,Washington,DC
120,Boston,MA
121,El Paso,TX
122,Nashville,TN
123,Detroit,MI
124,Oklahoma City,OK
125,Portland,OR
126,Las Vegas,NV
127,Memphis,TN
128,Louisville,KY
129,Baltimore,MD
130,Milwaukee,WI
131,Albuquerque,NM
132,Tucson,AZ
133,Fresno,CA
134,Sacramento,CA
135,Kansas City,MO
136,Mesa,AZ
137,Atlanta,GA
138,Omaha,NE
139,Colorado Springs,CO
140,Raleigh,NC
141,Long Beach,CA
142,Virginia Beach,VA
143,Miami,FL
144,Oakland,CA
145,Minneapolis,MN
146,Tulsa,OK
147,Arlington,TX
148,New Orleans,LA
149,Wichita,KS
150,Cleveland,OH
151,Tampa,FL
152,Bakersfield,CA
153,Aurora,CO
154,Honolulu,HI
155,Anaheim,CA
156,Santa Ana,CA
157,Riverside,CA
158,Corpus Christi,TX
159,Lexington,KY
160,Stockton,CA
161,St. Louis,MO
162,Saint Paul,MN
163,Cincinnati,OH
164,Pittsburgh,PA
165,Greensboro,NC
166,Anchorage,AK
167,Plano,TX
168,Lincoln,NE
169,Orlando,FL
170,Irvine,CA
171,Newark,NJ
172,Toledo,OH
173,Durham,NC
174,Chula Vista,CA
175,Fort Wayne,IN
176,Jersey City,NJ
177,St. Petersburg,FL
178,Laredo,TX
179,Madison,WI
180,Chandler,AZ
181,Buffalo,NY
182,Lubbock,TX
183,Scottsdale,AZ
184,Reno,NV
185,Glendale,AZ
186,Gilbert,AZ
187,Winston–Salem,NC
188,North Las Vegas,NV
189,Norfolk,VA
190,Chesapeake,VA
191,Garland,TX
192,Irving,TX
193,Hialeah,FL
194,Fremont,CA
195,Boise,ID
196,Richmond,VA
197,Baton Rouge,LA
198,Spokane,WA
199,Des Moines,IA
200,Tacoma,WA
201,San Bernardino,CA
202,Modesto,CA
203,Fontana,CA
204,Santa Clarita,CA
205,Birmingham,AL
206,Oxnard,CA
207,Fayetteville,NC
208,Rochester,NY
209,Moreno Valley,CA
210,Salt Lake City,UT
211,Yonkers,NY
